student_id,gender,class_level,age,attendance_pct,avg_marks,previous_failures,family_income_monthly,distance_to_school_km,guardian_education,single_parent,sibling_dropout,mobile_available,internet_access,scholarship,midday_meal,study_hours_per_day,health_risk,school_engagement_score,teacher_feedback_score,disciplinary_incidents,dropout_flag
41,Male,6,13,71.2,64.6,1,15800,5.0,Primary,1,0,0,0,0,0,5.8,Low,50.0,45.0,0,1
42,Female,8,15,89.2,100.0,2,5500,0.2,No Schooling,0,0,1,0,1,1,7.3,Low,38.0,46.1,0,0
43,Female,8,13,56.9,42.4,0,6800,4.1,Higher Secondary,0,0,1,1,0,0,2.2,High,40.1,7.3,0,0
44,Male,9,16,59.2,45.1,0,12800,0.9,Primary,0,0,0,0,0,1,4.9,Low,20.5,17.9,0,0
45,Female,7,11,80.4,81.0,0,15900,1.3,Graduate,1,1,1,1,0,1,3.6,Low,41.4,24.2,1,0
46,Female,8,12,63.4,84.9,0,5300,2.4,Secondary,0,0,1,0,0,1,5.4,High,40.2,43.6,1,0
47,Male,9,14,86.8,71.8,0,7900,2.1,Secondary,0,0,0,0,0,1,4.9,Medium,34.7,47.8,1,0
48,Male,7,11,77.9,61.0,1,3100,0.9,No Schooling,0,0,0,0,0,1,7.5,Medium,33.1,25.9,0,1
49,Female,10,15,84.7,25.8,0,6100,0.4,Higher Secondary,0,0,0,0,1,0,2.7,Low,28.4,28.6,0,0
50,Male,9,16,82.1,34.4,0,22900,2.4,Secondary,1,0,1,0,0,1,2.5,Low,21.8,16.6,1,0
51,Male,6,13,88.6,90.4,0,3000,2.5,Primary,0,0,0,0,1,1,5.8,Medium,35.0,21.1,0,0
52,Male,6,11,71.5,68.9,1,29000,3.3,No Schooling,0,1,0,0,1,1,4.5,Low,49.0,41.3,0,0
53,Female,9,14,58.9,39.3,0,29500,0.1,Graduate,0,0,1,0,0,1,4.6,Low,40.4,26.4,0,0
54,Female,7,12,87.9,48.1,0,3500,2.7,Secondary,0,1,0,0,0,1,2.2,Low,45.4,14.2,1,0
55,Female,10,14,89.8,100.0,1,3900,14.3,Secondary,0,0,0,0,0,1,8.0,Low,35.9,28.9,0,1
56,Female,6,10,70.5,52.8,0,8200,2.3,Primary,0,0,0,0,0,1,1.3,Low,50.8,18.8,0,0
57,Male,6,13,86.7,100.0,1,6100,0.5,Primary,0,1,1,0,0,1,7.7,Medium,58.5,52.0,0,0
58,Female,7,13,95.5,44.4,0,17000,0.9,Primary,0,0,0,0,0,1,5.6,Medium,45.5,31.4,1,0
59,Male,9,15,65.0,80.8,0,14000,0.4,No Schooling,0,0,0,1,0,1,2.2,Low,44.4,35.4,1,0
60,Male,10,15,86.7,44.3,0,7700,0.8,Secondary,0,0,1,0,1,1,4.9,Low,50.0,23.5,1,1
61,Female,10,17,94.3,52.0,2,3200,1.8,Higher Secondary,0,0,1,0,0,1,3.3,Low,56.9,44.4,0,0
62,Male,8,12,79.4,56.3,1,6700,4.2,Secondary,0,0,1,0,0,1,3.4,Low,11.2,31.4,1,1
63,Female,9,16,88.9,48.7,1,48400,0.7,Graduate,1,0,1,0,0,1,3.7,Medium,54.6,12.4,0,0
64,Female,6,12,68.7,83.6,0,9600,1.0,Secondary,0,0,0,0,1,1,5.0,Low,38.6,23.3,0,0
65,Female,8,13,97.7,55.4,0,22400,6.7,Primary,0,0,0,0,0,1,1.5,Low,41.0,29.4,0,0
66,Female,10,17,44.4,87.4,1,10700,3.6,Primary,0,0,1,1,0,0,6.0,Low,18.5,47.2,0,1
67,Female,7,12,81.3,52.5,1,27700,4.3,Secondary,0,0,0,1,0,1,3.7,Medium,48.3,24.0,1,0
68,Male,10,15,79.4,62.2,0,7800,5.7,Higher Secondary,0,0,1,0,0,1,5.4,Medium,42.7,53.0,0,0
69,Male,7,13,65.3,41.2,3,19200,0.6,Graduate,0,0,1,0,0,1,3.7,Low,28.0,22.4,0,1
70,Male,6,12,84.3,100.0,4,16200,0.3,No Schooling,0,0,1,0,0,1,6.1,Medium,37.7,24.3,0,0
71,Male,8,14,77.5,59.4,0,8700,2.4,Primary,0,0,0,0,0,1,4.4,Low,37.2,33.6,0,0
72,Male,10,15,75.3,69.3,0,8800,10.4,No Schooling,0,0,0,0,0,0,3.7,Low,48.9,22.5,0,0
73,Female,7,12,89.0,58.1,4,3000,0.1,No Schooling,0,0,0,0,0,1,7.7,Low,14.1,22.8,1,1
74,Male,9,14,73.6,43.8,2,6300,5.8,Secondary,0,0,0,0,0,0,1.4,Low,40.3,26.3,0,0
75,Male,6,13,89.6,70.3,0,47100,8.8,No Schooling,0,0,1,1,0,0,4.3,Low,28.3,27.7,0,0
76,Male,9,14,87.0,100.0,3,28900,5.2,Secondary,1,0,1,0,0,0,7.2,Low,34.7,39.0,0,0
77,Male,8,15,76.5,45.6,1,7800,0.4,Higher Secondary,0,0,1,0,0,1,4.0,Low,30.9,5.8,0,0
78,Female,6,10,64.1,58.3,1,4500,1.6,No Schooling,0,0,0,0,0,1,1.9,Low,53.9,0.0,1,0
79,Female,9,13,93.1,93.3,1,19600,2.4,Primary,0,0,0,0,1,0,3.8,Low,51.9,61.2,1,0
80,Female,9,14,76.7,44.5,0,10100,4.0,Primary,0,0,1,0,0,1,1.9,Low,16.5,25.2,0,1
81,Female,8,12,94.0,78.8,0,11500,3.2,Primary,0,0,0,0,0,0,2.8,Low,45.3,18.9,0,0
82,Male,7,14,90.2,58.9,0,6700,0.3,Secondary,0,0,0,0,0,1,3.0,Low,55.5,37.3,0,0
83,Female,6,11,73.4,76.1,0,23500,2.8,Secondary,0,0,0,0,0,1,6.5,Medium,52.3,37.6,0,0
84,Male,10,14,81.1,70.3,0,9900,2.0,Primary,0,0,0,0,0,1,4.9,Medium,49.7,49.0,0,0
85,Male,9,15,92.8,30.7,0,12800,2.3,Primary,0,0,0,0,0,1,5.7,Low,36.8,27.8,0,0
86,Male,9,16,87.6,89.5,0,4000,5.1,Primary,0,1,1,0,1,1,4.2,Low,35.5,38.2,1,0
87,Female,9,16,73.8,43.3,1,4800,4.7,Secondary,0,0,0,0,0,1,1.2,Low,35.6,40.4,0,0
88,Male,10,14,78.4,58.3,3,3700,0.8,Higher Secondary,1,0,0,0,0,1,3.4,Low,46.6,43.4,0,0
89,Male,6,13,91.4,77.8,1,11300,7.3,Primary,0,0,0,0,0,0,3.1,Medium,45.0,63.5,0,0
90,Male,8,13,86.5,63.4,0,8700,2.2,Graduate,0,1,0,1,0,0,4.4,Low,36.0,6.3,0,0
91,Male,9,16,84.2,68.7,0,3200,1.1,No Schooling,0,1,0,0,0,1,6.2,Low,61.6,28.3,0,1
92,Female,6,12,70.4,83.3,1,10200,6.4,No Schooling,0,0,0,0,0,1,5.1,Low,23.7,21.8,2,0
93,Male,6,12,91.2,22.6,3,9000,1.0,Secondary,1,1,1,0,0,1,0.7,Low,37.4,8.8,0,1
94,Male,9,16,95.5,82.2,4,3000,0.8,Primary,0,0,0,0,0,1,4.3,Low,51.5,50.9,0,0
95,Male,10,17,98.0,77.2,1,4900,1.5,Primary,1,0,0,0,1,1,3.7,Medium,26.5,30.2,0,0
96,Female,9,13,89.7,39.0,0,9700,0.1,Primary,0,0,1,0,0,1,4.9,Low,37.9,32.1,0,1
97,Male,6,12,78.3,67.7,0,3900,5.6,Higher Secondary,0,0,0,0,1,1,4.7,Low,15.3,54.4,0,1
98,Male,10,14,72.1,77.9,0,6800,1.8,Higher Secondary,0,0,0,0,0,1,6.8,Medium,31.0,22.2,0,0
99,Male,6,13,54.0,36.3,0,4800,3.1,Secondary,0,0,0,0,1,1,0.7,Low,39.6,2.9,1,1
100,Female,7,13,71.7,97.4,0,3000,1.6,Secondary,0,0,1,0,1,1,8.0,Low,42.2,40.4,0,0
101,Female,10,14,94.1,91.3,0,3000,3.8,Primary,1,0,0,0,0,1,7.3,Low,43.0,47.7,0,0
102,Female,9,14,74.6,83.1,1,3500,0.1,Primary,0,0,0,0,1,1,6.8,High,37.1,33.0,1,0
103,Male,10,17,86.4,34.0,0,32500,0.9,Secondary,0,0,1,0,0,0,2.7,Low,38.6,32.6,0,0
104,Female,9,15,78.3,100.0,2,3400,1.0,Higher Secondary,0,0,0,0,0,1,7.5,Medium,41.2,66.7,1,1
105,Female,9,13,90.1,70.5,0,7200,2.0,Secondary,0,0,1,0,1,1,2.5,Low,33.8,58.9,0,0
106,Female,7,14,66.8,73.0,2,7700,1.1,No Schooling,0,0,0,0,0,1,5.2,Low,58.1,43.1,0,0
107,Male,7,13,85.7,72.3,0,31500,0.8,Secondary,1,0,0,1,0,1,4.8,Low,59.8,47.4,0,0
108,Male,10,14,91.7,69.8,0,3000,0.1,Primary,0,0,0,0,0,1,3.4,Low,49.9,26.6,0,0
109,Male,10,15,69.0,79.1,2,4900,9.6,Secondary,1,0,0,0,0,1,4.7,Low,35.5,44.6,0,0
110,Female,7,14,69.9,63.5,1,9900,2.3,Graduate,0,0,1,0,0,1,3.4,Low,59.3,25.3,2,0
111,Male,7,12,86.4,45.6,0,7400,3.8,Higher Secondary,0,0,0,0,0,1,0.7,Low,39.1,34.1,0,0
112,Male,7,11,94.1,96.0,3,6000,2.9,No Schooling,1,0,1,0,0,1,3.8,Low,69.7,41.7,0,0
113,Male,7,13,75.4,44.1,1,11800,1.5,Primary,0,0,1,1,0,1,0.4,Low,34.3,9.1,0,0
114,Female,10,17,91.0,44.8,0,3000,0.4,Graduate,0,0,0,0,1,1,3.8,Medium,46.8,31.5,0,1
115,Male,6,12,82.2,48.4,1,6500,3.4,No Schooling,0,0,0,0,1,0,5.6,Medium,26.9,20.4,0,1
116,Female,8,15,69.6,56.5,1,5300,3.7,No Schooling,0,0,0,0,0,1,6.0,Low,32.3,38.0,0,0
117,Female,10,14,98.8,87.1,0,14800,5.8,No Schooling,1,0,0,0,0,0,4.5,High,51.1,45.4,0,0
118,Female,8,14,81.1,96.1,3,3000,0.4,Secondary,1,0,0,0,0,1,5.2,Medium,36.2,42.1,0,1
119,Male,8,14,96.8,63.6,2,6800,1.2,Secondary,0,0,0,0,1,1,2.5,Low,39.7,49.7,0,0
120,Female,7,14,97.1,78.8,1,7000,4.0,No Schooling,0,1,0,0,0,1,5.0,Medium,24.4,22.1,0,0
121,Female,6,12,90.7,62.2,0,5800,0.1,Secondary,0,0,1,0,0,0,5.9,High,41.4,27.5,0,0
122,Female,7,14,92.8,95.4,2,5200,1.2,Secondary,0,0,0,0,0,1,7.5,Medium,35.5,38.1,0,0
123,Male,6,10,70.3,64.8,0,7100,6.9,Secondary,1,0,1,1,0,1,3.9,Low,52.3,26.6,2,0
124,Male,6,10,75.0,78.4,3,16900,1.8,Primary,0,0,1,0,1,1,6.5,Low,31.4,30.6,0,0
125,Male,6,12,55.1,47.1,3,12300,4.7,Primary,1,0,0,0,1,1,2.0,Low,56.6,15.3,1,1
126,Male,7,11,73.4,74.3,0,4700,2.6,Primary,1,0,1,0,1,1,3.6,Medium,44.1,60.1,0,0
127,Male,6,13,79.2,97.0,1,4700,5.7,Primary,0,1,0,0,0,1,6.7,Low,54.4,40.4,0,0
128,Male,10,14,91.5,89.0,1,3600,0.2,No Schooling,0,0,1,0,0,1,4.5,Low,64.4,35.0,0,0
129,Male,6,12,87.4,67.5,2,15700,3.2,Secondary,0,0,1,0,0,1,0.7,Medium,27.5,26.7,0,0
130,Female,7,12,94.5,58.1,2,5100,3.9,Primary,1,0,1,0,0,1,5.5,Low,69.5,12.2,0,1
131,Male,10,16,74.6,49.9,1,3300,1.6,Secondary,0,0,0,0,0,1,3.6,Low,47.8,13.8,0,1
132,Female,6,12,76.3,56.5,2,8200,0.6,No Schooling,0,0,1,0,0,0,5.2,Low,29.3,27.3,1,0
133,Female,8,13,70.2,72.3,0,9300,4.7,Primary,0,0,0,1,1,1,2.1,High,38.2,39.1,1,0
134,Male,10,15,72.8,32.1,0,6300,7.1,No Schooling,1,0,0,1,1,0,3.4,High,26.2,11.5,0,1
135,Female,8,14,83.0,100.0,2,8300,3.2,Primary,0,0,1,0,1,1,7.1,Low,58.5,57.6,0,1
136,Male,6,12,89.1,60.6,1,6800,2.8,Primary,0,0,1,0,1,1,5.5,Medium,16.1,19.9,0,0
137,Female,9,15,82.5,57.1,1,10900,1.2,Primary,0,0,1,0,0,0,2.5,Medium,39.9,30.8,1,0
138,Male,9,14,76.0,75.1,0,9200,0.3,No Schooling,0,0,1,0,0,0,2.7,High,30.4,48.8,0,1
139,Female,7,12,81.8,82.2,0,4900,1.7,Higher Secondary,0,1,0,1,0,0,5.1,Low,39.5,38.2,0,0
140,Male,6,10,84.8,91.4,0,12000,11.1,Higher Secondary,0,0,0,1,0,1,4.9,Low,63.5,27.3,0,0
141,Male,6,13,76.8,52.7,1,4200,0.2,Higher Secondary,0,1,0,0,0,1,6.3,High,37.8,29.4,0,0
142,Male,10,14,66.9,47.3,1,3600,1.7,Secondary,1,1,0,1,1,1,1.3,Low,24.9,31.8,0,0
143,Female,7,12,51.3,53.7,4,8600,0.1,Secondary,0,0,1,0,0,0,3.9,Low,38.1,28.0,1,1
144,Female,6,13,73.5,34.8,0,9900,0.9,Primary,0,0,0,0,0,1,3.9,Medium,31.8,22.2,0,0
145,Male,8,15,91.7,100.0,0,13900,0.3,Primary,0,1,1,0,0,1,7.2,Low,51.1,52.6,0,0
146,Male,10,15,74.7,55.9,0,27900,6.4,Higher Secondary,0,0,1,1,0,1,1.5,Medium,46.5,31.7,0,1
147,Male,6,11,76.5,56.2,2,3000,2.9,Secondary,0,0,0,0,0,1,2.2,Low,53.1,35.5,0,1
148,Female,6,11,74.1,91.8,1,5100,5.0,Secondary,0,1,0,1,0,1,6.3,Low,50.4,49.2,0,1
149,Male,7,13,80.0,30.5,0,8300,5.7,Primary,0,0,0,1,0,1,1.4,Medium,40.7,5.4,0,0
150,Male,9,13,84.9,94.9,0,24900,0.1,Graduate,0,1,1,1,0,1,7.3,Medium,63.9,52.9,0,0
151,Female,8,15,63.2,79.6,5,5800,1.2,Primary,0,1,1,0,1,1,7.9,Medium,45.5,13.4,0,1
152,Female,10,17,77.3,52.4,1,3000,1.3,Higher Secondary,0,0,0,0,0,1,2.8,Low,33.0,38.0,0,1
153,Male,6,11,77.2,58.1,0,3500,0.2,No Schooling,0,0,0,0,0,0,2.6,Low,45.9,15.5,0,0
154,Female,7,11,81.1,35.6,0,6600,0.1,No Schooling,0,0,0,0,1,1,4.6,Medium,29.0,15.1,0,0
155,Male,7,13,80.4,41.7,1,10000,3.9,Higher Secondary,0,1,0,0,0,0,4.6,Medium,44.4,20.5,0,1
156,Female,7,13,87.4,67.9,1,35600,1.6,Secondary,0,0,1,0,0,0,3.5,Low,39.0,33.7,0,0
157,Male,8,14,89.1,79.8,0,4800,6.6,No Schooling,1,0,0,0,0,1,3.7,Medium,56.1,37.4,0,0
158,Female,9,13,96.8,59.0,0,11100,0.9,No Schooling,0,0,0,0,1,0,2.1,Medium,61.5,29.3,0,0
159,Female,7,13,77.5,85.0,1,15800,2.5,Secondary,0,0,1,0,1,1,8.0,Medium,36.6,28.4,0,0
160,Female,9,13,86.8,69.3,0,5100,0.2,Secondary,0,0,0,1,0,1,6.5,High,53.5,31.4,0,0
161,Male,6,11,73.0,33.3,0,24500,2.7,No Schooling,0,0,1,0,0,1,2.8,High,24.7,32.4,0,1
162,Female,8,14,77.5,64.4,3,5100,15.0,Primary,0,0,0,0,1,1,4.2,Medium,45.4,31.2,0,1
163,Male,7,14,70.1,42.0,0,3700,1.6,Primary,0,0,1,0,0,1,3.7,Medium,63.6,32.2,0,0
164,Male,8,14,90.7,53.4,0,22300,0.7,Secondary,0,0,1,0,0,1,2.5,Low,50.9,17.8,0,0
165,Female,6,10,94.8,100.0,0,7300,1.0,Graduate,0,0,1,0,0,1,2.8,Low,36.9,37.1,0,0
166,Male,10,16,85.4,45.1,0,3500,2.8,Primary,0,0,1,0,0,1,2.0,Medium,20.9,0.4,0,0
167,Female,10,14,83.0,56.8,2,5600,1.4,Secondary,0,0,0,1,0,1,2.9,Medium,17.9,15.0,0,0
168,Female,10,14,52.8,66.8,0,4600,0.4,Higher Secondary,0,0,0,0,0,0,3.9,Medium,26.7,32.0,0,0
169,Male,10,14,90.0,94.9,0,5100,1.2,Secondary,0,0,1,0,1,1,5.2,Medium,24.7,41.9,0,1
170,Female,6,13,70.7,70.5,0,8600,9.4,Secondary,0,1,0,0,1,1,5.0,Low,40.9,41.8,0,0
171,Male,8,13,96.6,57.5,0,5900,6.5,No Schooling,0,0,1,0,0,0,2.5,Medium,50.8,52.3,1,0
172,Male,7,13,73.5,80.5,0,31900,4.1,Secondary,0,1,0,0,1,1,6.0,Low,65.8,44.0,0,0
173,Male,10,17,83.1,40.9,0,5900,2.5,Graduate,0,1,0,0,0,1,0.4,Low,47.9,45.0,0,0
174,Female,6,13,88.6,79.0,1,6800,0.2,Primary,0,0,0,0,0,1,4.9,Low,42.3,46.0,2,0
175,Male,6,13,90.0,76.2,1,21300,1.7,Primary,0,1,1,0,0,1,5.0,Low,47.9,23.8,0,0
176,Male,9,13,93.9,53.1,0,18000,0.3,No Schooling,0,0,1,0,0,1,5.9,Low,53.7,37.0,0,0
177,Male,6,11,75.8,45.4,2,12800,2.6,Secondary,0,0,0,0,0,1,4.6,High,42.5,15.3,1,0
178,Female,9,14,83.2,100.0,0,5700,5.0,Primary,0,0,0,0,1,1,3.8,Low,64.0,49.0,1,0
179,Female,7,14,76.9,45.6,2,20700,1.5,Higher Secondary,1,0,1,0,1,1,2.2,High,51.9,18.3,0,1
180,Female,9,14,62.3,11.0,0,5800,0.3,Primary,0,0,1,0,0,1,2.4,Low,31.1,11.7,1,0
181,Female,10,14,91.9,52.3,0,3600,6.6,Secondary,0,0,0,0,1,0,1.7,Low,41.1,22.7,1,0
182,Female,8,15,97.6,89.2,0,5000,0.6,Secondary,0,0,0,0,0,1,7.4,High,53.4,47.5,0,0
183,Male,6,11,93.9,92.0,1,13200,1.0,Secondary,0,0,0,0,0,1,2.9,High,49.2,33.7,0,0
184,Male,6,12,88.2,67.9,0,6300,0.6,Graduate,0,0,0,0,1,0,6.6,Low,32.9,44.8,0,0
185,Female,6,11,63.4,21.2,1,8700,0.7,No Schooling,0,0,0,1,0,1,3.5,Low,26.8,12.6,0,0
186,Female,6,11,65.7,52.5,0,3800,1.5,Primary,0,0,1,0,0,1,3.4,Medium,40.3,16.9,0,0
187,Male,8,12,85.2,74.1,1,13400,2.5,Secondary,0,0,1,1,0,0,5.6,Low,49.5,29.0,0,0
188,Male,7,11,93.1,77.4,1,4500,1.2,Secondary,1,0,1,0,1,1,4.6,Medium,21.2,23.4,0,0
189,Female,7,11,83.5,67.3,2,4100,5.6,Primary,0,0,0,0,0,1,3.5,Low,41.6,40.0,1,0
190,Male,6,10,94.8,29.0,2,6500,0.3,No Schooling,0,0,0,1,0,0,3.2,Low,32.9,20.2,0,1
191,Female,10,15,62.6,38.0,0,3000,2.2,Primary,0,1,1,0,0,0,2.7,Low,44.4,26.2,1,1
192,Male,6,10,72.2,51.3,0,4000,3.2,Graduate,1,0,0,1,0,1,3.7,Medium,43.1,13.8,0,0
193,Male,7,11,86.3,95.4,0,4100,0.3,Secondary,0,1,1,0,0,1,4.3,Medium,46.4,46.0,0,0
194,Female,8,15,72.9,55.2,0,8900,0.6,Secondary,0,0,1,0,0,1,0.1,Low,38.8,23.7,1,1
195,Male,6,13,69.6,62.8,1,4600,3.5,Primary,0,0,0,0,1,0,3.6,Low,46.7,33.6,2,0
196,Male,10,15,93.3,80.1,1,9300,2.4,Secondary,0,0,0,0,0,1,4.8,Low,42.3,31.5,0,0
197,Female,6,13,57.2,24.2,1,6700,1.2,No Schooling,0,0,0,0,1,1,0.7,Low,43.5,6.6,0,1
198,Female,9,13,87.9,61.6,0,5400,5.6,Secondary,0,0,0,0,0,1,7.1,Low,36.4,43.0,0,0
199,Male,8,12,83.0,72.4,0,17900,4.3,No Schooling,1,0,0,0,0,0,4.7,Medium,44.1,26.9,1,0
200,Male,9,14,88.0,76.2,1,3000,3.0,Higher Secondary,0,0,0,0,0,1,4.8,Low,37.5,40.3,0,0
201,Female,9,14,97.1,100.0,2,11600,3.0,No Schooling,0,0,0,0,0,0,6.6,Low,41.6,47.1,0,0
202,Female,9,13,88.6,63.5,1,3400,0.1,Higher Secondary,0,1,0,0,0,1,4.9,Medium,41.1,30.1,1,0
203,Male,7,14,95.6,100.0,0,4300,3.2,No Schooling,0,0,0,0,0,1,7.0,Medium,56.1,44.6,0,0
204,Male,8,15,75.6,64.4,0,5600,1.6,Graduate,0,0,0,0,1,1,4.5,Low,25.5,22.4,0,0
205,Male,9,14,82.6,79.5,0,6400,0.2,Higher Secondary,1,0,1,0,0,1,5.8,High,31.3,24.6,1,0
206,Male,8,13,90.2,81.5,1,7300,6.5,Secondary,0,0,0,0,1,1,8.0,Low,57.2,40.6,0,0
207,Male,8,14,74.5,56.4,0,8100,1.8,Secondary,1,0,0,0,1,1,5.2,Low,33.9,27.7,0,0
208,Female,6,13,89.2,61.8,0,5300,4.3,Primary,1,0,0,0,1,1,6.2,Low,16.1,37.0,0,0
209,Male,7,12,75.8,51.5,0,3000,0.6,Graduate,0,0,1,0,1,1,2.2,Low,59.2,19.8,2,0
210,Male,7,13,80.3,83.4,0,4500,6.3,No Schooling,0,0,0,0,0,1,3.0,Low,58.3,65.2,0,0
211,Female,6,10,86.7,74.6,2,13400,5.2,No Schooling,0,0,1,0,0,1,6.4,Low,39.6,31.0,1,0
212,Female,7,13,96.6,41.3,0,11100,1.9,Secondary,0,0,0,0,1,0,4.6,Low,27.2,39.2,2,0
213,Male,6,13,76.1,60.3,0,11300,1.9,Secondary,0,0,0,0,0,1,3.5,Medium,45.2,41.8,1,0
214,Female,8,13,90.8,57.3,1,6300,0.1,Primary,0,0,0,0,0,0,4.3,Medium,41.3,23.5,0,0
215,Female,9,15,74.1,70.0,2,10500,0.6,Primary,0,0,0,0,0,1,2.4,Medium,32.3,32.8,0,0
216,Female,8,14,73.4,41.3,4,5400,1.6,Secondary,0,0,0,0,0,1,3.9,Low,36.1,18.9,0,0
217,Male,9,15,70.3,50.5,0,5800,0.4,Primary,0,0,0,1,0,1,3.2,Low,22.4,34.8,0,0
218,Male,6,12,85.2,64.8,0,4900,2.7,No Schooling,0,0,0,0,1,1,5.9,Low,47.4,20.2,0,0
219,Female,6,13,88.9,87.0,1,14600,8.6,No Schooling,1,0,0,0,0,1,4.8,Low,50.6,52.9,0,0
